UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,-33.601200,-70.520236,781.112,0,0,0,No Data,No Data
1179727221,2007-05-21T06:00:21Z,-33.601230,-70.520865,779.471,0.0584778,0,0,No Data,No Data
1179727245,2007-05-21T06:00:45Z,-33.601251,-70.521586,777.241,0.1253899,0,0,No Data,No Data
1179727268,2007-05-21T06:01:08Z,-33.601262,-70.522280,776.241,0.1898019,0,0,No Data,No Data
1179727291,2007-05-21T06:01:31Z,-33.601286,-70.522951,776.558,0.2521566,0,0,No Data,No Data
1179727313,2007-05-21T06:01:53Z,-33.601301,-70.523620,776.407,0.3143,0,0,No Data,No Data
1179727333,2007-05-21T06:02:13Z,-33.601306,-70.524227,775.334,0.3706148,0,0,No Data,No Data
1179727356,2007-05-21T06:02:36Z,-33.601349,-70.524897,774.728,0.4329686,0,0,No Data,No Data
1179727372,2007-05-21T06:02:52Z,-33.601372,-70.525373,773.657,0.4772595,0,0,No Data,No Data
1179727390,2007-05-21T06:03:10Z,-33.601432,-70.525904,772.256,0.5270359,0,0,No Data,No Data
1179727400,2007-05-21T06:03:20Z,-33.601425,-70.526214,773.02,0.5557953,0,0,No Data,No Data
1179727413,2007-05-21T06:03:33Z,-33.601533,-70.526584,772.887,0.5921872,0,0,No Data,No Data
1179727420,2007-05-21T06:03:40Z,-33.601689,-70.526677,771.974,0.6116065,0,0,No Data,No Data
1179727430,2007-05-21T06:03:50Z,-33.601935,-70.526666,771.677,0.6390617,0,0,No Data,No Data
1179727438,2007-05-21T06:03:58Z,-33.602134,-70.526617,771.46,0.6617048,0,0,No Data,No Data
1179727439,2007-05-21T06:03:59Z,-33.602159,-70.526607,771.448,0.6646894,0,0,No Data,No Data
1179727448,2007-05-21T06:04:08Z,-33.602311,-70.526427,771.699,0.6885193,0,0,No Data,No Data
1179727462,2007-05-21T06:04:22Z,-33.602328,-70.526004,772.607,0.7277599,0,0,No Data,No Data
1179727477,2007-05-21T06:04:37Z,-33.602285,-70.525550,771.956,0.7701061,0,0,No Data,No Data
1179727490,2007-05-21T06:04:50Z,-33.602278,-70.525168,770.914,0.805526,0,0,No Data,No Data
1179727501,2007-05-21T06:05:01Z,-33.602261,-70.524834,770.4,0.8364811,0,0,No Data,No Data
1179727512,2007-05-21T06:05:12Z,-33.602222,-70.524493,770.333,0.8683258,0,0,No Data,No Data
1179727521,2007-05-21T06:05:21Z,-33.602322,-70.524261,770.254,0.8925235,0,0,No Data,No Data
1179727532,2007-05-21T06:05:32Z,-33.602517,-70.524019,770.385,0.9237361,0,0,No Data,No Data
1179727541,2007-05-21T06:05:41Z,-33.602686,-70.523873,772.415,0.946869,0,0,No Data,No Data
1179727541,2007-05-21T06:05:41Z,-33.602691,-70.523867,772.48,0.9477085,0,0,No Data,No Data
1179727548,2007-05-21T06:05:48Z,-33.602868,-70.523781,774.301,0.9689604,0,0,No Data,No Data
1179727558,2007-05-21T06:05:58Z,-33.603067,-70.523625,775.935,0.995461,0,0,No Data,No Data
1179727565,2007-05-21T06:06:05Z,-33.603230,-70.523549,777.136,1.014925,0,0,No Data,No Data
1179727566,2007-05-21T06:06:06Z,-33.603246,-70.523538,777.228,1.016968,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,-33.603384,-70.523388,777.03,1.03766,0,0,No Data,No Data
1179727582,2007-05-21T06:06:22Z,-33.603551,-70.523205,775.411,1.062865,0,0,No Data,No Data
1179727592,2007-05-21T06:06:32Z,-33.603654,-70.522930,773.64,1.090751,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,-33.603705,-70.522610,771.84,1.120884,0,0,No Data,No Data
1179727613,2007-05-21T06:06:53Z,-33.603692,-70.522328,771.386,1.14704,0,0,No Data,No Data
1179727622,2007-05-21T06:07:02Z,-33.603669,-70.522056,771.477,1.17232,0,0,No Data,No Data
1179727631,2007-05-21T06:07:11Z,-33.603575,-70.521822,771.917,1.196339,0,0,No Data,No Data
1179727638,2007-05-21T06:07:18Z,-33.603434,-70.521675,772.522,1.217078,0,0,No Data,No Data
1179727646,2007-05-21T06:07:26Z,-33.603295,-70.521499,774.364,1.239431,0,0,No Data,No Data
1179727655,2007-05-21T06:07:35Z,-33.603143,-70.521319,775.534,1.263139,0,0,No Data,No Data
1179727665,2007-05-21T06:07:45Z,-33.602936,-70.521138,776.227,1.291569,0,0,No Data,No Data
1179727676,2007-05-21T06:07:56Z,-33.602731,-70.520931,776.628,1.321279,0,0,No Data,No Data
1179727686,2007-05-21T06:08:06Z,-33.602552,-70.520716,776.814,1.349347,0,0,No Data,No Data
1179727695,2007-05-21T06:08:15Z,-33.602415,-70.520504,777.699,1.374128,0,0,No Data,No Data
1179727704,2007-05-21T06:08:24Z,-33.602226,-70.520331,778.672,1.40058,0,0,No Data,No Data
1179727716,2007-05-21T06:08:36Z,-33.602017,-70.520080,779.725,1.433412,0,0,No Data,No Data
