UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-33.45151,-70.68613,526,0,0,0,No Data,No Data
1178690404,2007-05-09T06:00:04Z,-33.45148,-70.68601,526,0.0116358,0,0,No Data,No Data
1178690407,2007-05-09T06:00:07Z,-33.45147,-70.68593,526,0.0191496,0,0,No Data,No Data
1178690421,2007-05-09T06:00:21Z,-33.45137,-70.68552,526,0.0588275,0,0,No Data,No Data
1178690435,2007-05-09T06:00:35Z,-33.45104,-70.685599,527,0.09631,0,0,No Data,No Data
1178690440,2007-05-09T06:00:40Z,-33.45091,-70.68564,527,0.1112752,0,0,No Data,No Data
1178690513,2007-05-09T06:01:53Z,-33.45082,-70.68781,525,0.3130923,0,0,No Data,No Data
1178690518,2007-05-09T06:01:58Z,-33.45082,-70.68796,525,0.3270255,0,0,No Data,No Data
1178690534,2007-05-09T06:02:14Z,-33.45086,-70.68845,525,0.3727583,0,0,No Data,No Data
1178690551,2007-05-09T06:02:31Z,-33.45096,-70.68895,523,0.4205183,0,0,No Data,No Data
1178690563,2007-05-09T06:02:43Z,-33.45104,-70.68929,523,0.4533322,0,0,No Data,No Data
1178690620,2007-05-09T06:03:40Z,-33.45134,-70.69094,519,0.6101946,0,0,No Data,No Data
1178690620,2007-05-09T06:03:40Z,-33.45134,-70.69096,519,0.6120523,0,0,No Data,No Data
1178690637,2007-05-09T06:03:57Z,-33.45144,-70.69146,520,0.659812,0,0,No Data,No Data
1178690640,2007-05-09T06:04:00Z,-33.45149,-70.6915,520,0.6665048,0,0,No Data,No Data
1178690641,2007-05-09T06:04:01Z,-33.45151,-70.69152,520,0.6694034,0,0,No Data,No Data
1178690648,2007-05-09T06:04:08Z,-33.4516,-70.691689,520,0.6881048,0,0,No Data,No Data
1178690649,2007-05-09T06:04:09Z,-33.45162,-70.69172,520,0.6917441,0,0,No Data,No Data
1178690649,2007-05-09T06:04:09Z,-33.45163,-70.69174,520,0.6939095,0,0,No Data,No Data
1178690651,2007-05-09T06:04:11Z,-33.45165,-70.69176,520,0.6968081,0,0,No Data,No Data
1178690653,2007-05-09T06:04:13Z,-33.4517,-70.6918,520,0.7035009,0,0,No Data,No Data
1178690658,2007-05-09T06:04:18Z,-33.45182,-70.69186,520,0.7179763,0,0,No Data,No Data
1178690662,2007-05-09T06:04:22Z,-33.45191,-70.69183,520,0.7283764,0,0,No Data,No Data
1178690686,2007-05-09T06:04:46Z,-33.45247,-70.691599,520,0.7942797,0,0,No Data,No Data
1178690739,2007-05-09T06:05:39Z,-33.45374,-70.69114,518,0.9419562,0,0,No Data,No Data
1178690742,2007-05-09T06:05:42Z,-33.45381,-70.69111,516,0.9502332,0,0,No Data,No Data
1178690752,2007-05-09T06:05:52Z,-33.45405,-70.69103,516,0.9779663,0,0,No Data,No Data
1178690754,2007-05-09T06:05:54Z,-33.45411,-70.69102,516,0.9847102,0,0,No Data,No Data
1178690797,2007-05-09T06:06:37Z,-33.45515,-70.69074,516,1.103378,0,0,No Data,No Data
1178690829,2007-05-09T06:07:09Z,-33.45593,-70.690479,518,1.19351,0,0,No Data,No Data
1178690834,2007-05-09T06:07:14Z,-33.45602,-70.69041,518,1.205404,0,0,No Data,No Data
1178690838,2007-05-09T06:07:18Z,-33.45611,-70.69036,519,1.216448,0,0,No Data,No Data
1178690846,2007-05-09T06:07:26Z,-33.4563,-70.69027,519,1.239192,0,0,No Data,No Data
1178690867,2007-05-09T06:07:47Z,-33.45681,-70.69008,519,1.298649,0,0,No Data,No Data
1178690881,2007-05-09T06:08:01Z,-33.45712,-70.68994,520,1.33553,0,0,No Data,No Data
1178690892,2007-05-09T06:08:12Z,-33.45737,-70.68974,520,1.368992,0,0,No Data,No Data
1178690894,2007-05-09T06:08:14Z,-33.4574,-70.68971,520,1.373343,0,0,No Data,No Data
1178690895,2007-05-09T06:08:15Z,-33.4574,-70.68969,520,1.375201,0,0,No Data,No Data
1178690895,2007-05-09T06:08:15Z,-33.45741,-70.68969,520,1.376318,0,0,No Data,No Data
1178690896,2007-05-09T06:08:16Z,-33.45741,-70.68968,520,1.377244,0,0,No Data,No Data
1178690914,2007-05-09T06:08:34Z,-33.45785,-70.68953,520,1.428172,0,0,No Data,No Data
1178690917,2007-05-09T06:08:37Z,-33.45793,-70.68949,517,1.437821,0,0,No Data,No Data
1178690919,2007-05-09T06:08:39Z,-33.45797,-70.68948,517,1.44237,0,0,No Data,No Data
1178690963,2007-05-09T06:09:23Z,-33.45902,-70.68915,517,1.563217,0,0,No Data,No Data
1178690966,2007-05-09T06:09:26Z,-33.4591,-70.68912,517,1.572549,0,0,No Data,No Data
1178690994,2007-05-09T06:09:54Z,-33.45977,-70.6889,519,1.649888,0,0,No Data,No Data
1178691000,2007-05-09T06:10:00Z,-33.45992,-70.68886,519,1.666996,0,0,No Data,No Data
1178691014,2007-05-09T06:10:14Z,-33.46025,-70.68875,519,1.705129,0,0,No Data,No Data
1178691058,2007-05-09T06:10:58Z,-33.46132,-70.68845,518,1.827467,0,0,No Data,No Data
1178691080,2007-05-09T06:11:20Z,-33.46188,-70.68835,518,1.890499,0,0,No Data,No Data
1178691101,2007-05-09T06:11:41Z,-33.46238,-70.68829,517,1.946442,0,0,No Data,No Data
1178691119,2007-05-09T06:11:59Z,-33.46283,-70.68825,517,1.996678,0,0,No Data,No Data
1178691141,2007-05-09T06:12:21Z,-33.46338,-70.68822,516,2.057973,0,0,No Data,No Data
1178691179,2007-05-09T06:12:59Z,-33.46433,-70.68822,515,2.163736,0,0,No Data,No Data
1178691243,2007-05-09T06:14:03Z,-33.46593,-70.68827,516,2.341923,0,0,No Data,No Data
1178691260,2007-05-09T06:14:20Z,-33.46635,-70.68827,517,2.388681,0,0,No Data,No Data
1178691279,2007-05-09T06:14:39Z,-33.46682,-70.68831,517,2.441138,0,0,No Data,No Data
1178691287,2007-05-09T06:14:47Z,-33.46703,-70.68832,515,2.464536,0,0,No Data,No Data
1178691295,2007-05-09T06:14:55Z,-33.46723,-70.68834,515,2.486879,0,0,No Data,No Data
1178691318,2007-05-09T06:15:18Z,-33.46779,-70.68834,515,2.549223,0,0,No Data,No Data
1178691356,2007-05-09T06:15:56Z,-33.46874,-70.68829,515,2.655088,0,0,No Data,No Data
1178691444,2007-05-09T06:17:24Z,-33.47095,-70.68825,516,2.901154,0,0,No Data,No Data
1178691501,2007-05-09T06:18:21Z,-33.47236,-70.68826,516,3.058131,0,0,No Data,No Data
1178691516,2007-05-09T06:18:36Z,-33.47273,-70.68822,516,3.09949,0,0,No Data,No Data
1178691527,2007-05-09T06:18:47Z,-33.473,-70.68816,518,3.130061,0,0,No Data,No Data
1178691536,2007-05-09T06:18:56Z,-33.47323,-70.68809,518,3.156479,0,0,No Data,No Data
1178691548,2007-05-09T06:19:08Z,-33.4735,-70.68798,518,3.188226,0,0,No Data,No Data
1178691558,2007-05-09T06:19:18Z,-33.47375,-70.68787,518,3.217874,0,0,No Data,No Data
1178691569,2007-05-09T06:19:29Z,-33.47399,-70.68772,516,3.248006,0,0,No Data,No Data
1178691571,2007-05-09T06:19:31Z,-33.47404,-70.6877,516,3.253875,0,0,No Data,No Data
1178691576,2007-05-09T06:19:36Z,-33.47416,-70.68764,516,3.26835,0,0,No Data,No Data
1178691591,2007-05-09T06:19:51Z,-33.47448,-70.68746,516,3.307702,0,0,No Data,No Data
1178691621,2007-05-09T06:20:21Z,-33.47519,-70.68709,516,3.393891,0,0,No Data,No Data
1178691624,2007-05-09T06:20:24Z,-33.47524,-70.68706,516,3.400115,0,0,No Data,No Data
1178691631,2007-05-09T06:20:31Z,-33.47541,-70.68697,516,3.420804,0,0,No Data,No Data
1178691643,2007-05-09T06:20:43Z,-33.47567,-70.6868,516,3.453775,0,0,No Data,No Data
1178691652,2007-05-09T06:20:52Z,-33.47585,-70.68667,516,3.47717,0,0,No Data,No Data
1178691665,2007-05-09T06:21:05Z,-33.47612,-70.68641,516,3.515725,0,0,No Data,No Data
1178691683,2007-05-09T06:21:23Z,-33.47649,-70.6861,517,3.565979,0,0,No Data,No Data
1178691692,2007-05-09T06:21:32Z,-33.47668,-70.68598,517,3.589887,0,0,No Data,No Data
1178691694,2007-05-09T06:21:34Z,-33.47672,-70.685959,517,3.594712,0,0,No Data,No Data
1178691700,2007-05-09T06:21:40Z,-33.47686,-70.68588,517,3.611938,0,0,No Data,No Data
1178691705,2007-05-09T06:21:45Z,-33.47697,-70.68584,517,3.624735,0,0,No Data,No Data
1178691706,2007-05-09T06:21:46Z,-33.47699,-70.68583,517,3.627147,0,0,No Data,No Data
1178691712,2007-05-09T06:21:52Z,-33.47715,-70.6858,518,3.645176,0,0,No Data,No Data
1178691719,2007-05-09T06:21:59Z,-33.47731,-70.68575,518,3.663584,0,0,No Data,No Data
1178691732,2007-05-09T06:22:12Z,-33.47763,-70.68567,518,3.699976,0,0,No Data,No Data
1178691738,2007-05-09T06:22:18Z,-33.47779,-70.68562,518,3.718384,0,0,No Data,No Data
1178691746,2007-05-09T06:22:26Z,-33.47798,-70.68558,517,3.73986,0,0,No Data,No Data
1178691772,2007-05-09T06:22:52Z,-33.47861,-70.685419,517,3.811554,0,0,No Data,No Data
1178691787,2007-05-09T06:23:07Z,-33.47899,-70.68538,520,3.854014,0,0,No Data,No Data
1178691796,2007-05-09T06:23:16Z,-33.47922,-70.68539,520,3.879636,0,0,No Data,No Data
1178691806,2007-05-09T06:23:26Z,-33.47946,-70.68543,520,3.906612,0,0,No Data,No Data
1178691815,2007-05-09T06:23:35Z,-33.47967,-70.68549,518,3.930646,0,0,No Data,No Data
1178691823,2007-05-09T06:23:43Z,-33.47987,-70.68556,518,3.953841,0,0,No Data,No Data
1178691918,2007-05-09T06:25:18Z,-33.48211,-70.68648,519,4.217445,0,0,No Data,No Data
1178691949,2007-05-09T06:25:49Z,-33.48285,-70.68675,518,4.303559,0,0,No Data,No Data
1178692004,2007-05-09T06:26:44Z,-33.48417,-70.687209,519,4.456595,0,0,No Data,No Data
1178692036,2007-05-09T06:27:16Z,-33.48492,-70.6875,518,4.544355,0,0,No Data,No Data
1178692040,2007-05-09T06:27:20Z,-33.48501,-70.68754,518,4.555041,0,0,No Data,No Data
1178692047,2007-05-09T06:27:27Z,-33.48518,-70.6876,518,4.57477,0,0,No Data,No Data
1178692082,2007-05-09T06:28:02Z,-33.48601,-70.687929,517,4.672121,0,0,No Data,No Data
1178692099,2007-05-09T06:28:19Z,-33.48641,-70.68811,520,4.719718,0,0,No Data,No Data
1178692171,2007-05-09T06:29:31Z,-33.48807,-70.68894,519,4.919949,0,0,No Data,No Data
1178692190,2007-05-09T06:29:50Z,-33.48851,-70.68913,519,4.972014,0,0,No Data,No Data
1178692388,2007-05-09T06:33:08Z,-33.49321,-70.69095,524,5.52187,0,0,No Data,No Data
1178692405,2007-05-09T06:33:25Z,-33.49362,-70.69112,524,5.570167,0,0,No Data,No Data
1178692585,2007-05-09T06:36:25Z,-33.49777,-70.69319,520,6.070559,0,0,No Data,No Data
1178692885,2007-05-09T06:41:25Z,-33.50472,-70.69654,525,6.904459,0,0,No Data,No Data
1178692969,2007-05-09T06:42:49Z,-33.50665,-70.6975,526,7.137072,0,0,No Data,No Data
1178693055,2007-05-09T06:44:15Z,-33.50864,-70.69846,527,7.375868,0,0,No Data,No Data
1178693066,2007-05-09T06:44:26Z,-33.50889,-70.69859,529,7.406204,0,0,No Data,No Data
1178693082,2007-05-09T06:44:42Z,-33.50927,-70.69877,528,7.451689,0,0,No Data,No Data
1178693090,2007-05-09T06:44:50Z,-33.50944,-70.69886,528,7.472377,0,0,No Data,No Data
